,Category,Rating,Reviews,Size,Installs,Price,Content Rating,Android Ver
0,1,4.1,159,19,"10,000+",0,0,4.0
1,1,3.9,967,14,"500,000+",0,0,4.0
2,1,4.7,87510,8.7,"5,000,000+",0,0,4.0
3,1,4.5,215644,25,"50,000,000+",0,13,4.2
4,1,4.3,967,2.8,"100,000+",0,0,4.4
5,1,4.4,167,5.6,"50,000+",0,0,2.3
6,1,3.8,178,19,"50,000+",0,0,4.0
7,1,4.1,36815,29,"1,000,000+",0,0,4.2
8,1,4.4,13791,33,"1,000,000+",0,0,3.0
9,1,4.7,121,3.1,"10,000+",0,0,4.0
10,1,4.4,13880,28,"1,000,000+",0,0,4.1
11,1,4.4,8788,12,"1,000,000+",0,0,4.0
12,1,4.2,44829,20,"10,000,000+",0,13,4.1
13,1,4.6,4326,21,"100,000+",0,0,4.4
14,1,4.4,1518,37,"100,000+",0,0,2.3
15,1,3.2,55,2.7,"5,000+",0,0,4.2
16,1,4.7,3632,5.5,"500,000+",0,0,4.1
17,1,4.5,27,17,"10,000+",0,0,2.3
18,1,4.3,194216,39,"5,000,000+",0,0,4.0
19,1,4.6,224399,31,"10,000,000+",0,0,4.1
20,1,4.0,450,14,"100,000+",0,0,4.1
21,1,4.1,654,12,"100,000+",0,0,4.0
22,1,4.7,7699,4.2,"500,000+",0,10,4.0
23,1,4.7,118,23,"50,000+",0,0,4.1
24,1,4.8,192,6.0,"10,000+",0,0,3.0
25,1,4.7,20260,25,"500,000+",0,0,4.0
26,1,4.1,203,6.1,"100,000+",0,0,4.0
27,1,3.9,136,4.6,"10,000+",0,0,2.3
28,1,4.1,223,4.2,"100,000+",0,0,2.3
29,1,4.2,1120,9.2,"100,000+",0,0,4.0
30,1,4.1,227,5.2,"50,000+",0,0,2.3
31,1,4.5,5035,11,"100,000+",0,0,4.0
32,1,4.2,1015,11,"100,000+",0,0,4.1
33,1,4.7,353,4.2,"10,000+",0,13,4.1
34,1,3.8,564,9.2,"100,000+",0,0,4.1
35,1,4.7,8145,24,"500,000+",0,0,4.4
36,1,4.1,36639,0,"5,000,000+",0,0,2.3
37,1,4.7,158,11,"10,000+",0,0,4.0
38,1,4.0,591,9.4,"500,000+",0,0,4.0
39,1,4.2,117,15,"10,000+",0,0,4.0
40,1,4.5,176,10,"100,000+",0,0,4.0
41,1,4.4,295221,0,"10,000,000+",0,0,0.0
42,1,3.8,2206,1.2,"100,000+",0,0,4.1
43,1,4.2,26,12,"10,000+",0,0,4.1
44,1,4.7,174531,24,"10,000,000+",0,0,4.1
45,1,4.6,1070,26,"100,000+",0,0,4.1
46,1,4.2,85,8.0,"100,000+",0,0,4.1
47,1,4.3,845,7.9,"100,000+",0,0,2.3
48,2,4.2,367,25,"100,000+",0,0,4.0
49,2,4.0,1598,56,"1,000,000+",0,0,4.1
50,2,3.8,284,57,"100,000+",0,0,4.1
51,2,4.6,17057,0,"1,000,000+",0,0,0.0
52,2,3.9,129,35,"100,000+",0,0,4.1
53,2,4.3,542,33,"100,000+",0,0,4.1
54,2,4.9,10479,33,"100,000+",0,0,4.0
55,2,4.4,805,5.6,"50,000+",0,0,4.4
56,2,4.2,129,54,"100,000+",0,0,4.1
57,2,4.0,1403,1,"100,000+",0,0,2.2
58,2,3.9,3971,3.6,"100,000+",0,0,4.4
59,2,4.6,534,5.7,"10,000+",0,0,4.0
60,2,4.9,7774,17,"100,000+",0,0,4.2
61,2,4.3,38846,8.6,"1,000,000+",0,0,4.1
62,2,4.6,2431,2.4,"100,000+",0,0,4.0
63,2,4.9,6090,27,"100,000+",0,0,4.2
64,2,3.9,295,2.7,"10,000+",0,0,4.4
65,2,4.0,190,2.5,"50,000+",0,0,2.3
66,2,4.3,40211,0,"5,000,000+",0,0,0.0
67,2,3.9,356,0,"100,000+",0,0,0.0
68,2,4.2,52530,7.0,"5,000,000+",0,0,4.0
69,2,4.8,116986,35,"5,000,000+",0,0,4.0
70,2,3.6,1379,16,"500,000+",0,0,4.2
71,2,4.2,271920,16,"10,000,000+",0,13,5.0
72,2,4.8,736,0,"100,000+",0,0,2.3
73,2,4.8,7021,17,"500,000+",0,0,4.0
